user_id,signup_day,subscription_tier,device,acquisition_channel,signup_cohort_month
179,387,Premium,CTV,Organic,12
180,227,Ad-Supported,Mobile,Organic,7
181,154,Ad-Supported,CTV,Referral,5
182,185,Ad-Supported,CTV,Organic,6
183,117,Ad-Supported,Mobile,Telco-Bundle,3
184,263,Ad-Supported,Web,Organic,8
185,140,Premium,Web,Paid-Social,4
186,222,Premium,Mobile,Paid-Social,7
187,148,Ad-Supported,CTV,Organic,4
188,128,Ad-Supported,CTV,Paid-Social,4
189,388,Premium,Mobile,Telco-Bundle,12
190,138,Ad-Supported,Mobile,Paid-Social,4
191,29,Ad-Supported,CTV,Telco-Bundle,0
192,152,Premium,Tablet,Referral,5
193,213,Ad-Supported,CTV,Paid-Social,7
194,38,Premium,CTV,Referral,1
195,122,Ad-Supported,CTV,Organic,4
196,67,Ad-Supported,Mobile,Organic,2
197,200,Ad-Supported,Mobile,Paid-Social,6
198,289,Premium,Mobile,Paid-Social,9
199,387,Ad-Supported,Web,Paid-Social,12
200,156,Premium,Web,Paid-Social,5
201,345,Premium,Web,Telco-Bundle,11
202,86,Premium,Mobile,Organic,2
203,312,Ad-Supported,CTV,Telco-Bundle,10
204,225,Ad-Supported,CTV,Paid-Social,7
205,303,Ad-Supported,Mobile,Paid-Social,10
206,302,Ad-Supported,Mobile,Organic,10
207,213,Premium,Web,Organic,7
208,103,Ad-Supported,CTV,Paid-Social,3
209,210,Premium,CTV,Telco-Bundle,7
210,330,Ad-Supported,Mobile,Paid-Social,11
211,388,Ad-Supported,CTV,Organic,12
212,371,Ad-Supported,Mobile,Telco-Bundle,12
213,73,Premium,Mobile,Telco-Bundle,2
214,239,Ad-Supported,CTV,Referral,7
215,42,Ad-Supported,Mobile,Paid-Social,1
216,267,Premium,Tablet,Telco-Bundle,8
217,396,Ad-Supported,Mobile,Paid-Social,13
218,21,Ad-Supported,Mobile,Telco-Bundle,0
219,262,Ad-Supported,Mobile,Paid-Social,8
220,378,Ad-Supported,CTV,Organic,12
221,339,Ad-Supported,Mobile,Referral,11
222,157,Ad-Supported,Mobile,Telco-Bundle,5
223,42,Ad-Supported,Mobile,Telco-Bundle,1
224,369,Ad-Supported,Mobile,Paid-Social,12
225,368,Ad-Supported,CTV,Telco-Bundle,12
226,232,Ad-Supported,Mobile,Organic,7
227,391,Ad-Supported,Mobile,Organic,13
228,2,Ad-Supported,Web,Organic,0
229,247,Ad-Supported,Mobile,Organic,8
230,16,Ad-Supported,CTV,Organic,0
231,374,Ad-Supported,Mobile,Telco-Bundle,12
232,272,Premium,CTV,Organic,9
233,365,Premium,Mobile,Telco-Bundle,12
234,225,Ad-Supported,Mobile,Referral,7
235,34,Ad-Supported,Mobile,Organic,1
236,11,Ad-Supported,Tablet,Telco-Bundle,0
237,134,Premium,Mobile,Paid-Social,4
238,297,Ad-Supported,Web,Referral,9
239,61,Ad-Supported,Web,Paid-Social,2
240,341,Ad-Supported,Mobile,Paid-Social,11
241,96,Ad-Supported,Mobile,Organic,3
242,199,Ad-Supported,Mobile,Referral,6
243,82,Premium,Tablet,Organic,2
244,186,Premium,CTV,Telco-Bundle,6
245,181,Ad-Supported,CTV,Organic,6
246,3,Ad-Supported,Mobile,Telco-Bundle,0
247,227,Ad-Supported,Web,Paid-Social,7
248,314,Ad-Supported,Mobile,Organic,10
249,374,Ad-Supported,Mobile,Organic,12
250,132,Ad-Supported,Mobile,Organic,4
251,352,Premium,Mobile,Telco-Bundle,11
252,351,Premium,Web,Telco-Bundle,11
253,395,Premium,Web,Organic,13
254,149,Premium,Mobile,Paid-Social,4
255,340,Ad-Supported,Mobile,Organic,11
256,226,Ad-Supported,Web,Telco-Bundle,7
257,24,Ad-Supported,CTV,Telco-Bundle,0
258,108,Ad-Supported,Mobile,Telco-Bundle,3
259,269,Ad-Supported,Mobile,Telco-Bundle,8
260,65,Premium,CTV,Organic,2
261,174,Ad-Supported,Tablet,Organic,5
262,310,Ad-Supported,CTV,Telco-Bundle,10
263,60,Ad-Supported,Mobile,Organic,2
264,199,Premium,CTV,Organic,6
265,86,Ad-Supported,Mobile,Organic,2
266,215,Ad-Supported,Web,Telco-Bundle,7
267,97,Ad-Supported,Mobile,Telco-Bundle,3
268,386,Premium,Mobile,Referral,12
269,31,Premium,Mobile,Paid-Social,1
270,385,Ad-Supported,Mobile,Organic,12
271,316,Premium,Mobile,Paid-Social,10
272,342,Ad-Supported,CTV,Telco-Bundle,11
273,340,Premium,Web,Organic,11
274,75,Ad-Supported,Web,Referral,2
275,372,Ad-Supported,Mobile,Paid-Social,12
276,238,Premium,Mobile,Telco-Bundle,7
277,384,Ad-Supported,Mobile,Telco-Bundle,12
278,351,Ad-Supported,Mobile,Paid-Social,11
279,232,Premium,Mobile,Telco-Bundle,7
280,150,Premium,Web,Paid-Social,5
281,47,Ad-Supported,Tablet,Telco-Bundle,1
282,41,Premium,Mobile,Telco-Bundle,1
283,156,Premium,Web,Paid-Social,5
284,324,Ad-Supported,CTV,Organic,10
285,202,Premium,Mobile,Referral,6
286,193,Ad-Supported,CTV,Referral,6
287,98,Premium,Mobile,Telco-Bundle,3
288,226,Ad-Supported,Mobile,Referral,7
289,255,Ad-Supported,Tablet,Paid-Social,8
290,392,Ad-Supported,CTV,Paid-Social,13
291,292,Ad-Supported,Mobile,Paid-Social,9
292,243,Premium,Mobile,Organic,8
293,364,Premium,Tablet,Paid-Social,12
294,170,Ad-Supported,Mobile,Telco-Bundle,5
295,374,Ad-Supported,Web,Organic,12
296,148,Ad-Supported,Web,Organic,4
297,51,Ad-Supported,Mobile,Telco-Bundle,1
298,167,Ad-Supported,CTV,Telco-Bundle,5
299,52,Premium,CTV,Referral,1
300,48,Premium,Web,Organic,1
301,352,Ad-Supported,Mobile,Telco-Bundle,11
302,318,Ad-Supported,Mobile,Organic,10
303,89,Ad-Supported,Mobile,Organic,2
304,335,Ad-Supported,CTV,Telco-Bundle,11
305,28,Ad-Supported,Web,Paid-Social,0
306,114,Ad-Supported,Web,Telco-Bundle,3
307,282,Ad-Supported,CTV,Organic,9
308,122,Ad-Supported,Mobile,Organic,4
309,292,Premium,Mobile,Paid-Social,9
310,349,Ad-Supported,Web,Organic,11
311,27,Ad-Supported,CTV,Organic,0
312,10,Ad-Supported,Web,Organic,0
313,376,Premium,Mobile,Organic,12
314,208,Ad-Supported,Mobile,Telco-Bundle,6
315,203,Ad-Supported,Web,Organic,6
316,186,Ad-Supported,Mobile,Telco-Bundle,6
317,174,Ad-Supported,Mobile,Paid-Social,5
318,276,Ad-Supported,CTV,Paid-Social,9
319,232,Premium,CTV,Paid-Social,7
320,66,Ad-Supported,Tablet,Telco-Bundle,2
321,251,Ad-Supported,Web,Telco-Bundle,8
322,267,Ad-Supported,CTV,Organic,8
323,46,Premium,Mobile,Telco-Bundle,1
324,151,Premium,Mobile,Organic,5
325,316,Premium,Web,Paid-Social,10
326,247,Ad-Supported,Mobile,Paid-Social,8
327,55,Premium,Tablet,Organic,1
328,16,Premium,CTV,Organic,0
329,232,Ad-Supported,Mobile,Organic,7
330,185,Ad-Supported,CTV,Organic,6
331,384,Premium,CTV,Paid-Social,12
332,209,Ad-Supported,Mobile,Organic,6
333,372,Premium,Mobile,Telco-Bundle,12
334,86,Ad-Supported,CTV,Telco-Bundle,2
335,179,Ad-Supported,Mobile,Organic,5
336,56,Ad-Supported,Mobile,Organic,1
337,230,Premium,CTV,Paid-Social,7
338,76,Premium,Web,Telco-Bundle,2
339,197,Ad-Supported,CTV,Paid-Social,6
340,138,Ad-Supported,Tablet,Organic,4
341,75,Ad-Supported,Web,Referral,2
342,39,Ad-Supported,Mobile,Paid-Social,1
343,205,Premium,Mobile,Organic,6
344,378,Ad-Supported,Web,Telco-Bundle,12
345,80,Ad-Supported,Mobile,Referral,2
346,162,Ad-Supported,Web,Paid-Social,5
347,90,Premium,CTV,Organic,3
348,323,Ad-Supported,Mobile,Paid-Social,10
349,166,Premium,CTV,Organic,5
350,389,Ad-Supported,CTV,Paid-Social,12
351,98,Ad-Supported,Web,Organic,3
352,33,Premium,Mobile,Telco-Bundle,1
353,233,Ad-Supported,Web,Telco-Bundle,7
354,261,Premium,Mobile,Referral,8
355,396,Ad-Supported,Web,Telco-Bundle,13
356,348,Premium,Web,Organic,11
357,353,Premium,Mobile,Organic,11
358,254,Premium,Mobile,Paid-Social,8
359,144,Ad-Supported,Web,Organic,4
360,172,Premium,Web,Organic,5
361,54,Premium,Mobile,Telco-Bundle,1
362,172,Ad-Supported,CTV,Paid-Social,5
363,146,Ad-Supported,Web,Organic,4
364,15,Premium,Mobile,Paid-Social,0
365,82,Ad-Supported,CTV,Referral,2
366,214,Premium,Mobile,Telco-Bundle,7
367,148,Premium,Mobile,Organic,4
368,397,Ad-Supported,Web,Paid-Social,13
369,191,Ad-Supported,Mobile,Referral,6
370,383,Ad-Supported,Tablet,Organic,12
371,264,Ad-Supported,CTV,Telco-Bundle,8
372,17,Premium,CTV,Telco-Bundle,0
373,82,Ad-Supported,Mobile,Telco-Bundle,2
374,282,Ad-Supported,Mobile,Organic,9
375,218,Premium,Web,Referral,7
376,121,Ad-Supported,CTV,Organic,4
377,209,Premium,Web,Organic,6
378,361,Ad-Supported,Mobile,Organic,12
379,156,Ad-Supported,Mobile,Paid-Social,5
380,19,Ad-Supported,Mobile,Organic,0
381,125,Premium,Web,Telco-Bundle,4
382,374,Premium,Mobile,Telco-Bundle,12
383,304,Premium,CTV,Organic,10
384,335,Premium,Mobile,Telco-Bundle,11
385,364,Premium,Mobile,Referral,12
386,47,Premium,CTV,Organic,1
387,113,Ad-Supported,CTV,Telco-Bundle,3
388,24,Premium,Tablet,Referral,0
389,2,Premium,Mobile,Telco-Bundle,0
390,334,Premium,CTV,Paid-Social,11
391,374,Ad-Supported,Mobile,Telco-Bundle,12
392,63,Ad-Supported,Web,Telco-Bundle,2
393,289,Premium,CTV,Organic,9
394,214,Ad-Supported,Mobile,Organic,7
395,28,Ad-Supported,Web,Paid-Social,0
396,366,Premium,Mobile,Paid-Social,12
397,348,Ad-Supported,Mobile,Organic,11
398,227,Ad-Supported,Mobile,Organic,7
399,283,Ad-Supported,Mobile,Telco-Bundle,9
400,159,Ad-Supported,Web,Telco-Bundle,5
401,317,Premium,CTV,Organic,10
402,178,Premium,Web,Organic,5
403,395,Premium,Web,Organic,13
404,26,Premium,Web,Organic,0
405,69,Premium,Mobile,Telco-Bundle,2
406,387,Ad-Supported,Mobile,Organic,12
407,116,Premium,Mobile,Referral,3
408,124,Ad-Supported,Tablet,Organic,4
409,316,Ad-Supported,Tablet,Organic,10
410,76,Premium,Web,Telco-Bundle,2
411,205,Premium,Mobile,Paid-Social,6
412,115,Ad-Supported,Mobile,Organic,3
413,79,Premium,Web,Organic,2
414,385,Ad-Supported,Mobile,Telco-Bundle,12
415,80,Ad-Supported,CTV,Paid-Social,2
416,38,Ad-Supported,Mobile,Telco-Bundle,1
417,269,Ad-Supported,Mobile,Telco-Bundle,8
418,347,Ad-Supported,CTV,Telco-Bundle,11
419,51,Ad-Supported,Tablet,Telco-Bundle,1
420,283,Ad-Supported,Web,Telco-Bundle,9
421,216,Ad-Supported,Mobile,Telco-Bundle,7
422,332,Premium,Mobile,Paid-Social,11
423,51,Premium,Web,Telco-Bundle,1
424,390,Premium,CTV,Telco-Bundle,13
425,248,Ad-Supported,Mobile,Organic,8
426,337,Premium,CTV,Telco-Bundle,11
427,145,Premium,Mobile,Organic,4
428,377,Ad-Supported,Mobile,Paid-Social,12
429,250,Ad-Supported,Web,Organic,8
430,51,Ad-Supported,CTV,Organic,1
431,369,Ad-Supported,Mobile,Organic,12
432,318,Ad-Supported,Mobile,Organic,10
433,120,Ad-Supported,Tablet,Organic,4
434,218,Ad-Supported,CTV,Organic,7
435,155,Premium,CTV,Paid-Social,5
436,217,Ad-Supported,Mobile,Paid-Social,7
437,386,Ad-Supported,Tablet,Referral,12
438,359,Premium,Web,Telco-Bundle,11
439,87,Ad-Supported,CTV,Organic,2
440,388,Ad-Supported,Mobile,Paid-Social,12
441,175,Ad-Supported,CTV,Paid-Social,5
442,282,Ad-Supported,Web,Paid-Social,9
443,305,Ad-Supported,Web,Paid-Social,10
444,193,Ad-Supported,Tablet,Telco-Bundle,6
445,183,Ad-Supported,CTV,Telco-Bundle,6
446,183,Premium,Mobile,Paid-Social,6
447,345,Premium,Mobile,Telco-Bundle,11
448,155,Ad-Supported,Web,Organic,5
449,112,Ad-Supported,Mobile,Telco-Bundle,3
450,145,Ad-Supported,Mobile,Referral,4
451,78,Premium,CTV,Organic,2
452,157,Premium,Mobile,Telco-Bundle,5
453,46,Ad-Supported,Web,Telco-Bundle,1
454,36,Ad-Supported,Mobile,Paid-Social,1
455,289,Ad-Supported,Mobile,Organic,9
456,31,Premium,Mobile,Telco-Bundle,1
457,227,Premium,CTV,Paid-Social,7
458,312,Ad-Supported,Web,Organic,10
459,290,Ad-Supported,Mobile,Telco-Bundle,9
460,178,Ad-Supported,Mobile,Paid-Social,5
461,78,Premium,Mobile,Organic,2
462,372,Premium,CTV,Referral,12
463,334,Ad-Supported,Tablet,Organic,11
464,245,Ad-Supported,Web,Paid-Social,8
465,35,Ad-Supported,Mobile,Telco-Bundle,1
466,15,Ad-Supported,CTV,Organic,0
467,126,Premium,Mobile,Telco-Bundle,4
468,63,Ad-Supported,Mobile,Telco-Bundle,2
469,344,Premium,Mobile,Paid-Social,11
470,83,Ad-Supported,Mobile,Paid-Social,2
471,113,Ad-Supported,Mobile,Referral,3
472,390,Ad-Supported,Web,Referral,13
473,327,Ad-Supported,Mobile,Organic,10
474,88,Ad-Supported,Web,Paid-Social,2
475,154,Premium,Tablet,Paid-Social,5
476,206,Ad-Supported,CTV,Referral,6
477,266,Ad-Supported,Mobile,Telco-Bundle,8
478,374,Ad-Supported,Web,Paid-Social,12
479,348,Ad-Supported,Mobile,Telco-Bundle,11
480,390,Premium,Mobile,Paid-Social,13
481,17,Premium,Mobile,Organic,0
482,95,Ad-Supported,Web,Telco-Bundle,3
483,225,Premium,Web,Paid-Social,7
484,20,Premium,Web,Telco-Bundle,0
485,142,Premium,CTV,Paid-Social,4
486,62,Ad-Supported,CTV,Telco-Bundle,2
487,373,Ad-Supported,Web,Referral,12
488,26,Ad-Supported,Web,Organic,0
489,60,Premium,Mobile,Paid-Social,2
490,78,Premium,Tablet,Telco-Bundle,2
491,60,Ad-Supported,Web,Organic,2
492,227,Ad-Supported,CTV,Telco-Bundle,7
493,146,Premium,Mobile,Paid-Social,4
494,365,Premium,Mobile,Organic,12
495,105,Ad-Supported,Web,Telco-Bundle,3
496,215,Premium,Mobile,Paid-Social,7
497,264,Ad-Supported,Mobile,Organic,8
498,250,Ad-Supported,CTV,Organic,8
499,318,Ad-Supported,Web,Telco-Bundle,10
500,81,Premium,Web,Referral,2
501,203,Premium,Web,Paid-Social,6
502,320,Ad-Supported,Mobile,Organic,10
503,345,Ad-Supported,Mobile,Organic,11
504,247,Ad-Supported,CTV,Telco-Bundle,8
505,261,Ad-Supported,Mobile,Paid-Social,8
506,345,Ad-Supported,CTV,Paid-Social,11
507,250,Ad-Supported,Tablet,Organic,8
508,379,Ad-Supported,CTV,Paid-Social,12
509,51,Ad-Supported,CTV,Telco-Bundle,1
510,139,Ad-Supported,CTV,Paid-Social,4
511,45,Premium,Web,Organic,1
512,37,Ad-Supported,Mobile,Paid-Social,1
513,189,Ad-Supported,Mobile,Paid-Social,6
514,91,Premium,Mobile,Paid-Social,3
515,163,Ad-Supported,CTV,Organic,5
516,175,Ad-Supported,Mobile,Organic,5
517,248,Ad-Supported,CTV,Paid-Social,8
518,378,Ad-Supported,Web,Organic,12
519,339,Ad-Supported,Mobile,Telco-Bundle,11
520,151,Ad-Supported,CTV,Paid-Social,5
521,130,Ad-Supported,Mobile,Organic,4
522,308,Ad-Supported,Mobile,Telco-Bundle,10
523,50,Ad-Supported,Mobile,Paid-Social,1
524,216,Ad-Supported,Mobile,Organic,7
525,169,Ad-Supported,Tablet,Telco-Bundle,5
526,73,Ad-Supported,Tablet,Paid-Social,2
527,246,Premium,CTV,Referral,8
528,128,Ad-Supported,CTV,Organic,4
529,75,Ad-Supported,Web,Telco-Bundle,2
530,261,Ad-Supported,Web,Telco-Bundle,8
531,70,Ad-Supported,CTV,Organic,2
532,269,Premium,Mobile,Paid-Social,8
533,65,Ad-Supported,CTV,Telco-Bundle,2
534,174,Ad-Supported,Tablet,Paid-Social,5
535,323,Premium,Mobile,Paid-Social,10
536,92,Premium,Mobile,Referral,3
537,307,Premium,Mobile,Telco-Bundle,10
538,289,Ad-Supported,Mobile,Referral,9
539,361,Ad-Supported,CTV,Telco-Bundle,12
540,68,Premium,Mobile,Telco-Bundle,2
541,286,Ad-Supported,Tablet,Telco-Bundle,9
542,374,Ad-Supported,Web,Telco-Bundle,12
543,305,Premium,Mobile,Telco-Bundle,10
544,75,Ad-Supported,Web,Telco-Bundle,2
545,329,Ad-Supported,Web,Organic,10
546,43,Ad-Supported,CTV,Paid-Social,1
547,235,Ad-Supported,Mobile,Organic,7
548,199,Ad-Supported,Web,Referral,6
549,212,Premium,Mobile,Telco-Bundle,7
550,208,Ad-Supported,Mobile,Paid-Social,6
551,13,Ad-Supported,Mobile,Organic,0
552,203,Ad-Supported,Mobile,Paid-Social,6
553,374,Ad-Supported,CTV,Organic,12
554,175,Ad-Supported,Mobile,Telco-Bundle,5
555,111,Premium,CTV,Telco-Bundle,3
556,397,Ad-Supported,Mobile,Paid-Social,13
557,40,Ad-Supported,Web,Organic,1
558,195,Premium,Mobile,Paid-Social,6
559,205,Ad-Supported,Web,Paid-Social,6
560,191,Premium,Web,Telco-Bundle,6
561,368,Ad-Supported,Mobile,Telco-Bundle,12
562,169,Ad-Supported,CTV,Telco-Bundle,5
563,389,Premium,Mobile,Organic,12
564,27,Ad-Supported,Web,Organic,0
565,293,Ad-Supported,CTV,Referral,9
566,237,Ad-Supported,Mobile,Referral,7
567,96,Premium,Mobile,Organic,3
568,91,Ad-Supported,Mobile,Telco-Bundle,3
569,288,Ad-Supported,Web,Paid-Social,9
570,255,Premium,Web,Organic,8
571,244,Premium,Mobile,Referral,8
572,21,Ad-Supported,Mobile,Referral,0
573,239,Ad-Supported,Mobile,Referral,7
574,392,Ad-Supported,CTV,Organic,13
575,7,Ad-Supported,Mobile,Paid-Social,0
576,188,Ad-Supported,Mobile,Telco-Bundle,6
577,198,Ad-Supported,Web,Telco-Bundle,6
578,358,Ad-Supported,Mobile,Paid-Social,11
579,113,Ad-Supported,CTV,Paid-Social,3
580,190,Premium,Mobile,Organic,6
581,287,Ad-Supported,Mobile,Telco-Bundle,9
582,25,Premium,CTV,Telco-Bundle,0
583,320,Premium,Mobile,Organic,10
584,329,Ad-Supported,Mobile,Organic,10
585,288,Premium,Tablet,Paid-Social,9
586,259,Premium,Web,Paid-Social,8
587,299,Ad-Supported,CTV,Organic,9
588,312,Premium,Mobile,Organic,10
589,361,Ad-Supported,Mobile,Telco-Bundle,12
590,171,Premium,Mobile,Organic,5
591,182,Ad-Supported,Tablet,Telco-Bundle,6
592,255,Ad-Supported,Web,Paid-Social,8
593,78,Ad-Supported,CTV,Paid-Social,2
594,342,Premium,Tablet,Paid-Social,11
595,308,Ad-Supported,Mobile,Telco-Bundle,10
596,252,Ad-Supported,CTV,Paid-Social,8
597,121,Ad-Supported,Mobile,Paid-Social,4
598,139,Ad-Supported,Mobile,Paid-Social,4
599,174,Premium,Tablet,Paid-Social,5
