content_id,genre,content_type,runtime_min,is_premium_exclusive
75,Drama,Regular,111,1
76,Action,Regular,105,1
77,Action,Regular,98,0
78,Reality,Regular,112,0
79,Kids,Regular,20,0
80,Originals-Drama,Original,123,0
81,Reality,Regular,108,0
82,Sports-Live,Sports,192,0
83,News,News,67,1
84,Comedy,Regular,116,0
85,Drama,Regular,65,0
86,Drama,Regular,25,0
87,Originals-Drama,Original,128,0
88,Sports-Highlights,Sports,48,0
89,Comedy,Regular,32,0
90,Sports-Highlights,Sports,94,1
91,Comedy,Regular,48,0
92,Originals-Drama,Original,122,1
93,Sports-Live,Sports,152,0
94,Sports-Live,Sports,207,0
95,Action,Regular,134,1
96,Reality,Regular,81,1
97,Action,Regular,51,0
98,Drama,Regular,101,0
99,Drama,Regular,83,0
100,Documentary,Regular,23,0
101,Documentary,Regular,111,0
102,Originals-Drama,Original,68,0
103,Action,Regular,103,0
104,Documentary,Regular,127,0
105,Originals-Drama,Original,93,1
106,Originals-Drama,Original,100,1
107,Sports-Live,Sports,139,0
108,Action,Regular,48,0
109,Drama,Regular,69,0
110,Documentary,Regular,122,0
111,Sports-Live,Sports,182,1
112,Comedy,Regular,61,1
113,Action,Regular,113,1
114,Kids,Regular,122,1
115,Comedy,Regular,128,1
116,News,News,55,1
117,Originals-Drama,Original,105,0
118,Originals-Drama,Original,90,0
119,Sports-Live,Sports,120,0
120,Reality,Regular,67,0
121,Kids,Regular,33,0
122,Reality,Regular,52,1
123,Drama,Regular,85,0
124,Sports-Live,Sports,107,0
125,Drama,Regular,123,0
126,Sports-Highlights,Sports,42,0
127,Action,Regular,101,0
128,Comedy,Regular,30,1
129,Drama,Regular,101,0
130,Kids,Regular,61,1
131,Comedy,Regular,73,0
132,Documentary,Regular,106,0
133,Kids,Regular,70,0
134,Action,Regular,116,1
135,Kids,Regular,84,1
136,Drama,Regular,139,0
137,Documentary,Regular,96,1
138,Sports-Highlights,Sports,55,0
139,Originals-Drama,Original,113,1
140,Drama,Regular,68,0
141,Sports-Highlights,Sports,84,0
142,Sports-Highlights,Sports,36,1
143,Documentary,Regular,34,0
144,Kids,Regular,88,0
145,Sports-Highlights,Sports,42,0
146,Action,Regular,139,0
147,Action,Regular,122,1
148,Kids,Regular,104,1
149,Sports-Live,Sports,203,1
150,Drama,Regular,91,0
151,News,News,27,0
152,News,News,67,0
153,Comedy,Regular,79,0
154,Kids,Regular,129,0
155,Drama,Regular,46,1
156,Reality,Regular,79,1
157,Action,Regular,61,1
158,Reality,Regular,36,0
159,Originals-Drama,Original,32,0
160,Originals-Drama,Original,63,0
161,Drama,Regular,29,0
162,Documentary,Regular,28,0
163,Comedy,Regular,62,0
164,Drama,Regular,44,0
165,Kids,Regular,86,1
166,Action,Regular,22,0
167,News,News,56,1
168,News,News,74,0
169,Action,Regular,135,0
170,Documentary,Regular,96,0
171,Action,Regular,125,0
172,Sports-Highlights,Sports,61,0
173,Comedy,Regular,73,0
174,Documentary,Regular,70,1
175,Comedy,Regular,126,0
176,Drama,Regular,135,0
177,Sports-Live,Sports,101,0
178,Documentary,Regular,110,0
179,News,News,80,0
180,Originals-Drama,Original,84,0
181,News,News,137,1
182,News,News,54,1
183,Sports-Highlights,Sports,61,1
184,Action,Regular,127,0
185,Originals-Drama,Original,66,0
186,Reality,Regular,48,1
187,Action,Regular,87,0
188,Drama,Regular,59,0
189,Originals-Drama,Original,126,0
190,Action,Regular,129,1
191,Documentary,Regular,56,0
192,Comedy,Regular,83,1
193,Drama,Regular,138,1
194,News,News,109,0
195,Comedy,Regular,45,1
196,Comedy,Regular,90,0
197,Kids,Regular,94,0
198,News,News,98,0
199,Comedy,Regular,23,1
200,Action,Regular,55,0
201,Originals-Drama,Original,122,0
202,Documentary,Regular,48,0
203,Sports-Highlights,Sports,55,0
204,Comedy,Regular,58,0
205,Drama,Regular,41,0
206,Comedy,Regular,38,0
207,Drama,Regular,61,1
208,Reality,Regular,124,0
209,Drama,Regular,20,1
210,Sports-Highlights,Sports,53,0
211,Originals-Drama,Original,27,1
212,Kids,Regular,87,0
213,Comedy,Regular,50,0
214,News,News,115,1
215,Originals-Drama,Original,90,0
216,Originals-Drama,Original,114,0
217,Drama,Regular,96,1
218,Drama,Regular,72,1
219,Documentary,Regular,123,0
220,Sports-Live,Sports,103,0
221,Action,Regular,133,1
222,Sports-Highlights,Sports,139,1
223,Reality,Regular,90,1
224,Documentary,Regular,100,0
225,Action,Regular,50,1
226,Documentary,Regular,117,0
227,Drama,Regular,100,1
228,Kids,Regular,128,0
229,Reality,Regular,52,1
230,Drama,Regular,114,0
231,Comedy,Regular,76,0
232,Sports-Live,Sports,110,1
233,Documentary,Regular,40,0
234,Kids,Regular,87,1
235,Documentary,Regular,58,0
236,News,News,32,0
237,Sports-Highlights,Sports,71,0
238,Originals-Drama,Original,98,0
239,Drama,Regular,58,0
240,Drama,Regular,134,0
241,News,News,113,0
242,Originals-Drama,Original,81,1
243,Comedy,Regular,132,1
244,Kids,Regular,71,1
245,Kids,Regular,36,0
246,News,News,24,0
247,Kids,Regular,132,0
248,Sports-Live,Sports,162,1
249,Action,Regular,108,1
250,Sports-Live,Sports,104,0
251,Reality,Regular,55,1
252,News,News,24,0
253,Sports-Live,Sports,150,0
254,Comedy,Regular,49,0
255,Comedy,Regular,88,0
256,Originals-Drama,Original,27,1
257,News,News,138,1
258,Drama,Regular,74,0
259,Drama,Regular,51,0
260,Kids,Regular,81,1
261,Comedy,Regular,114,1
262,News,News,57,0
263,Action,Regular,25,0
264,Comedy,Regular,26,0
265,Documentary,Regular,122,0
266,Comedy,Regular,33,1
267,Action,Regular,96,0
268,Comedy,Regular,66,1
269,Drama,Regular,113,0
270,Drama,Regular,27,0
271,Drama,Regular,127,1
272,Comedy,Regular,103,0
273,Drama,Regular,73,0
274,Kids,Regular,44,1
275,Reality,Regular,137,1
276,Sports-Live,Sports,109,0
277,Action,Regular,78,0
278,Sports-Highlights,Sports,67,0
279,News,News,47,0
280,News,News,69,0
281,Drama,Regular,38,0
282,Comedy,Regular,20,1
283,Comedy,Regular,54,1
284,Comedy,Regular,33,1
285,Kids,Regular,69,1
286,Sports-Live,Sports,190,1
287,Drama,Regular,39,1
288,Action,Regular,20,1
289,Kids,Regular,33,0
290,Drama,Regular,80,0
291,News,News,52,0
292,Drama,Regular,78,0
293,Documentary,Regular,23,0
294,Drama,Regular,59,0
295,News,News,69,0
296,Documentary,Regular,71,0
297,Documentary,Regular,86,0
298,News,News,113,1
299,Originals-Drama,Original,76,1
300,Reality,Regular,120,0
301,Originals-Drama,Original,83,0
302,Drama,Regular,51,0
303,Kids,Regular,47,1
304,Sports-Highlights,Sports,58,1
305,News,News,91,0
306,Sports-Highlights,Sports,49,1
307,Sports-Live,Sports,119,0
308,Reality,Regular,77,0
309,Action,Regular,123,1
310,Drama,Regular,101,0
311,Sports-Highlights,Sports,60,0
312,Sports-Live,Sports,117,0
313,Comedy,Regular,109,0
314,Action,Regular,59,1
315,Action,Regular,49,1
316,Action,Regular,131,0
317,Action,Regular,77,0
318,Reality,Regular,25,1
319,Action,Regular,79,0
320,Documentary,Regular,75,1
321,Documentary,Regular,123,1
322,Sports-Highlights,Sports,105,0
323,Action,Regular,42,1
324,Kids,Regular,38,0
325,News,News,92,0
326,Reality,Regular,25,0
327,News,News,58,0
328,Kids,Regular,36,1
329,Reality,Regular,22,1
330,Action,Regular,130,1
331,Originals-Drama,Original,30,1
332,Comedy,Regular,21,0
333,Originals-Drama,Original,131,0
334,News,News,42,1
335,Drama,Regular,117,1
336,Reality,Regular,23,0
337,Drama,Regular,38,0
338,Originals-Drama,Original,33,0
339,Drama,Regular,104,0
340,Documentary,Regular,94,1
341,Drama,Regular,77,0
342,Documentary,Regular,48,1
343,News,News,30,1
344,Kids,Regular,88,1
345,Originals-Drama,Original,47,0
346,Originals-Drama,Original,90,0
347,Documentary,Regular,102,1
348,Comedy,Regular,121,1
349,Kids,Regular,79,0
350,Drama,Regular,20,1
351,Reality,Regular,53,0
352,Comedy,Regular,122,1
353,Kids,Regular,83,0
354,Kids,Regular,94,0
355,Sports-Highlights,Sports,74,0
356,Kids,Regular,39,0
357,Originals-Drama,Original,127,0
358,Originals-Drama,Original,112,0
359,Sports-Highlights,Sports,139,0
360,Kids,Regular,122,1
361,Documentary,Regular,54,0
362,Drama,Regular,50,1
363,Drama,Regular,49,1
364,Drama,Regular,130,0
365,Reality,Regular,86,0
366,Sports-Live,Sports,102,1
367,Originals-Drama,Original,136,1
368,Reality,Regular,92,0
369,Action,Regular,129,1
370,News,News,138,0
371,Originals-Drama,Original,29,0
372,Action,Regular,63,1
373,Action,Regular,108,0
374,Action,Regular,117,1
375,Comedy,Regular,37,0
376,Comedy,Regular,58,1
377,Documentary,Regular,85,0
378,Sports-Live,Sports,112,0
379,Sports-Live,Sports,121,0
380,Originals-Drama,Original,92,0
381,Kids,Regular,55,1
382,Documentary,Regular,45,0
383,Originals-Drama,Original,81,0
384,Sports-Highlights,Sports,69,0
385,Action,Regular,96,0
386,Documentary,Regular,58,1
387,Originals-Drama,Original,118,0
388,Documentary,Regular,29,1
389,Drama,Regular,123,0
390,News,News,23,1
391,Reality,Regular,108,0
392,Drama,Regular,61,0
393,Kids,Regular,66,1
394,Reality,Regular,22,1
395,Drama,Regular,104,1
396,Sports-Live,Sports,166,0
397,News,News,99,0
398,Action,Regular,107,1
399,Sports-Live,Sports,186,0
400,Sports-Live,Sports,164,1
